19/02/2016-00:05:26
TIME	NETW	INTERFACE	RECV[B/s]	SENT[B/s]
TIME	PROC	PID	NAME	RES[B]	VIRT[B]	CPU[%]
1 PROC 2369 dconf-service 4894720 182587392 0.0
1 PROC 2376 mate-settings-daemon 27496448 1135190016 0.0
1 PROC 2380 marco 27996160 351838208 0.0
1 PROC 2383 mate-panel 41369600 782622720 0.0
1 PROC 2386 gvfsd 5632000 197079040 0.0
1 PROC 2392 gvfsd-fuse 7286784 369082368 0.0
1 PROC 2404 pulseaudio 12169216 445784064 2.0
1 PROC 2406 rtkit-daemon 2514944 172974080 0.0
1 PROC 2409 caja 107937792 1382039552 0.0
1 PROC 2412 gvfs-udisks2-volume-monitor 9760768 314638336 0.0
1 PROC 2415 udisksd 11382784 395522048 0.0
1 PROC 2419 mate-power-manager 21188608 537866240 0.0
1 PROC 2420 mate-volume-control-applet 25563136 553164800 0.0
1 PROC 2421 blueman-applet 45301760 699592704 0.0
1 PROC 2424 applet.py 23875584 221732864 0.0
1 PROC 2425 nm-applet 32579584 652541952 0.0
1 PROC 2435 evolution-alarm-notify 72626176 881455104 0.0
1 PROC 2440 polkit-mate-authentication-agent-1 12165120 224792576 0.0
1 PROC 2442 at-spi-bus-launcher 8101888 376684544 0.0
1 PROC 2443 python2 33705984 357511168 0.0
1 PROC 2449 dbus-daemon 3510272 40194048 0.0
1 PROC 2453 at-spi2-registryd 4984832 127913984 0.0
1 PROC 2454 mate-screensaver 15822848 401776640 0.0
1 PROC 2466 upowerd 9371648 240799744 0.0
1 PROC 2485 gvfsd-trash 9953280 378871808 0.0
1 PROC 2489 gvfs-mtp-volume-monitor 5640192 200798208 0.0
1 PROC 2513 gvfs-gphoto2-volume-monitor 5926912 213254144 0.0
1 PROC 2517 gconfd-2 6455296 55529472 0.0
1 PROC 2524 gvfs-afc-volume-monitor 6283264 288542720 0.0
1 PROC 2559 evolution-source-registry 21057536 1078784000 0.0
1 PROC 2562 wnck-applet 25563136 588922880 0.0
1 PROC 2566 clock-applet 23330816 666398720 0.0
1 PROC 2577 notification-area-applet 14696448 461168640 0.0
1 PROC 2579 obex-data-server 5193728 55214080 0.0
1 PROC 2586 evolution-calendar-factory 56553472 1145987072 0.0
1 PROC 2609 gvfsd-metadata 5677056 123244544 0.0
1 PROC 2612 firefox 823545856 2078588928 50.7
